City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Oranjemund,NA,-28.55,16.4333,58.19,76,0,10.71,clear sky
334,Lasa,IT,46.6166,10.7002,71.51,64,34,5.82,scattered clouds
335,Bandarbeyla,SO,9.4942,50.8122,79.66,85,13,28.92,few clouds
336,Bubaque,GW,11.2833,-15.8333,78.03,73,59,13.33,broken clouds
337,Custodia,BR,-8.0875,-37.6431,89.17,35,48,12.59,scattered clouds
338,Nouadhibou,MR,20.931,-17.0347,65.77,89,90,26.17,overcast clouds
339,Hastings,GB,50.8552,0.5729,66.58,57,1,13.89,clear sky
340,Kodinsk,RU,58.6881,99.1844,36.68,95,95,0.22,overcast clouds
341,Luderitz,NA,-26.6481,15.1594,64.87,59,83,17.18,broken clouds
342,Cori,IT,41.6444,12.9128,70.95,73,52,3.0,broken clouds
343,Abu Kamal,SY,34.4506,40.9171,91.81,14,35,5.01,scattered clouds
344,Remontnoye,RU,46.5614,43.6501,71.49,76,70,13.53,broken clouds
345,Verkh-Usugli,RU,52.7,115.1667,44.29,46,100,4.61,overcast clouds
346,Rio Cuarto,AR,-33.1307,-64.3499,62.37,29,0,6.91,clear sky
